2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($)
397,CDB,Cold Bay Airport,Cold Bay,AK,992
398,MCK,McCook Ben Nelson Regional,McCook,NE,524
399,BFD,Bradford Regional,Bradford,PA,385
399,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,555.43
401,VQS,Antonio Rivera Rodriguez,Vieques,PR,548.38
402,PDT,Eastern Oregon Regional at Pendleton,Pendleton,OR,529.88
403,AOO,Altoona-Blair County,Altoona,PA,512.88
404,TVF,Thief River Falls Regional,Thief River Falls,MN,392.5
405,CDR,Chadron Municipal,Chadron,NE,496.44
406,CVN,Clovis Municipal,Clovis,NM,354.17
407,IPL,Imperial County,El Centro,CA,283.55
407,SDY,Sidney Richland Regional,Sidney,MT,492.2
409,SOW,Show Low Regional,Show Low,AZ,431.44
410,MSS,Massena International-Richards Field,Massena,NY,587.29
411,CNM,Cavern City Air Terminal,Carlsbad,NM,409.5
412,MSL,Northwest Alabama Regional,Muscle Shoals,AL,208
413,MCE,Merced Regional/Macready Field,Merced,CA,546
414,AIA,Alliance Municipal,Alliance,NE,299
415,CPX,Benjamin Rivera Noriega,Culebra,PR,418.29
415,LNS,Lancaster Airport,Lancaster,PA,799
417,FKL,Venango Regional,Franklin/Oil City,PA,331.75
418,GGW,Wokal Field Glasgow Valley County,Glasgow,MT,804.67
419,GDV,Dawson Community,Glendive,MT,521.75
420,OLF,L. M. Clayton,Wolf Point,MT,701.6
421,HVR,Havre City-County,Havre,MT,555.5
422,GLH,Greenville Mid Delta,Greenville,MS,324.5
423,SSB,Christiansted Harbor Seaplane Base,Christiansted,VI,813.5
423,CYF,Chefornak Airport,Chefornak,AK,589
425,PQS,Pilot Station Airport,Pilot Station,AK,285
National Average,,,,,357.1
"Source:  Bureau of Transportation Statistics, Airline Origin & Destination Survey (10% Sample), DB1B_Ticket where bulk fare equals zero, itinerary fare is greater than or equal to fifty dollars ($50) and itinerary yield is less than or equal to three dollars ($3).",,,,,
"Itinerary Fare:  Average fares are based on domestic itinerary fares, round-trip or one-way for which no return is purchased. Fares are based on the total ticket value which consists of the price charged by the airlines plus any additional taxes and fees levied by an outside entity at the time of purchase. Fares include only the price paid at the time of the ticket purchase and do not include other fees, such as baggage fees, paid at the airport or onboard the aircraft. Averages do not include frequent-flyer or 'zero fares' or a few abnormally high reported fares.  Airports* ranked by U.S. originating domestic passengers in 2019.",,,,,
