2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($)
389,AOO,Altoona-Blair County,Altoona,PA,221.75
390,TVF,Thief River Falls Regional,Thief River Falls,MN,451.67
390,TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,315.49
392,CDR,Chadron Municipal,Chadron,NE,282
393,CVN,Clovis Municipal,Clovis,NM,547.5
394,SDY,Sidney Richland Regional,Sidney,MT,532
395,SOW,Show Low Regional,Show Low,AZ,401.5
396,MSS,Massena International-Richards Field,Massena,NY,267.5
397,CNM,Cavern City Air Terminal,Carlsbad,NM,599.25
398,MSL,Northwest Alabama Regional,Muscle Shoals,AL,344.33
399,AIA,Alliance Municipal,Alliance,NE,370
400,OLF,L. M. Clayton,Wolf Point,MT,426
401,HVR,Havre City-County,Havre,MT,372
402,GLH,Greenville Mid Delta,Greenville,MS,418
403,TUP,Tupelo Regional,Tupelo,MS,637.5
403,PGA,Page Municipal,Page,AZ,448
405,HRO,Boone County,Harrison,AR,444
406,PKB,Mid-Ohio Valley Regional,Parkersburg,WV,361
406,MKT,Mankato Regional,Mankato,MN,130
408,CEC,Jack McNamara Field,Crescent City,CA,457
408,MCN,Middle Georgia Regional,Macon,GA,1007
National Average,,,,,258.88
"Source:  Bureau of Transportation Statistics, Airline Origin & Destination Survey (10% Sample), DB1B_Ticket where bulk fare equals zero, itinerary fare is greater than or equal to fifty dollars ($50) and itinerary yield is less than or equal to three dollars ($3).",,,,,
"Itinerary Fare:  Average fares are based on domestic itinerary fares, round-trip or one-way for which no return is purchased. Fares are based on the total ticket value which consists of the price charged by the airlines plus any additional taxes and fees levied by an outside entity at the time of purchase. Fares include only the price paid at the time of the ticket purchase and do not include other fees, such as baggage fees, paid at the airport or onboard the aircraft. Averages do not include frequent-flyer or 'zero fares' or a few abnormally high reported fares.  Airports* ranked by U.S. originating domestic passengers in 2019.",,,,,
