Date,Open,High,Low,Close,Adj Close,Volume
2017-06-06,7.800000,7.970000,7.790000,7.930000,7.536732,8386126
2017-06-07,7.960000,7.990000,7.810000,7.850000,7.460700,6358923
2017-06-08,8.000000,8.250000,7.910000,7.970000,7.574748,18307913
2017-06-09,8.120000,8.120000,7.870000,7.980000,7.584252,10068142
2017-06-12,7.970000,7.980000,7.830000,7.930000,7.536732,9038484
2017-06-13,7.900000,7.930000,7.730000,7.810000,7.422683,10007305
2017-06-14,7.850000,7.970000,7.750000,7.770000,7.384666,9751335
2017-06-15,7.910000,7.920000,7.490000,7.530000,7.156569,23314500
2017-06-16,7.530000,7.880000,7.530000,7.740000,7.356154,13388883
2017-06-19,7.780000,7.830000,7.600000,7.730000,7.346650,9234000
2017-06-20,7.660000,7.790000,7.660000,7.700000,7.318138,6552000
2017-06-21,7.800000,7.830000,7.630000,7.740000,7.356154,10253406
2017-06-22,7.680000,7.770000,7.550000,7.600000,7.223097,15215285
2017-06-23,7.610000,7.670000,7.520000,7.580000,7.204089,10713444
2017-06-26,7.630000,8.080000,7.620000,8.030000,7.631772,15128407
2017-06-27,8.020000,8.050000,7.910000,7.960000,7.565245,12685495
2017-06-28,7.850000,8.040000,7.850000,7.950000,7.555740,13653474
2017-06-29,7.910000,8.060000,7.870000,8.020000,7.622270,6617800
2017-06-30,7.890000,8.060000,7.840000,8.050000,7.650781,6356783
2017-07-03,7.970000,8.150000,7.970000,8.050000,7.650781,4306050
2017-07-04,8.050000,8.050000,7.500000,7.650000,7.270617,15264186
2017-07-05,7.650000,7.860000,7.600000,7.730000,7.346650,6609783
2017-07-06,7.790000,7.850000,7.590000,7.600000,7.223097,12816128
2017-07-07,7.620000,7.680000,7.500000,7.610000,7.232602,20222000
2017-07-10,7.540000,7.750000,7.520000,7.530000,7.156569,12103850
2017-07-11,7.640000,7.660000,7.540000,7.600000,7.223097,14839237
2017-07-12,7.560000,7.670000,7.320000,7.450000,7.080536,15807922
2017-07-13,7.480000,7.570000,7.410000,7.470000,7.099544,10012700
